Cohort,SHORTLIST? (yes/no),Applicant ID,How do you identify?,What pronouns should we use?,Do you identify as any of the following? Please check all that apply.,How did you hear about Bridge?,Have you applied to any Bridge cohorts before?,Current employment status,Will you be looking for a new job in June 2019 (when you graduate from Bridge)?,Have you attended any web development focused bootcamps?,Submitted At,Token
cohort-6,maybe,764909cc-19ce-4cb5-bbbf-b66bbca20689,Woman,She/her,Person of colour,Twitter,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/12/2019 5:24:49,f59aa4ef301706499d6ed87697e562bc
cohort-6,no,f630b722-aa7a-4b1c-8714-ed58fc44b20d,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/12/2019 14:22:56,1bd69aedd874c25d24e7ce1dca4c0233
cohort-6,yes,474b5c41-eb1c-4dc1-8c80-6b3767d59e97,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,", Ladies Learning Code",2/12/2019 14:22:08,0ba30ba8b5edb5a76a34856caf65142a
cohort-6,yes,699e095f-ccf8-4285-b7dd-557912d59412,Non-binary,They/their,"Person of colour, LGBTQIA+",Event,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Not sure,", UofT Full Stack Bootcamp",2/12/2019 14:59:21,6a7ecce34fbac33c7f42ddab9a7329a2
cohort-6,maybe,7be960af-9462-41e0-90a6-e0bc295172d9,Woman,She/her,Person of colour,Twitter,I have not applied to a Bridge cohort before,Employed full time,Not sure,HackerYou,2/12/2019 15:11:04,bbaccfc9a3af38f5b9557355ecc5de46
cohort-6,yes,249ea138-f0f0-4f7a-910c-9f82b7a596a5,Woman,She/her,Person of colour,Women Who Code,Tulip Cohort 1 (June 2018 - August 2018),Employed full time,No,I have not attended a bootcamp,2/12/2019 15:24:36,525082442b62f140f3e097012d734016
cohort-6,maybe,8132581c-7dcf-43bc-8f72-216510f1465d,Woman,She/her,,Friend or family member,Cohort 5 (September 2018 - November 2018),Employed full time,Yes,HackerYou,2/12/2019 15:56:32,c11fdea999e94fa9507bb9327fa52d8c
cohort-6,yes,5bd9ccfc-1126-46be-9559-e5673d030b98,Woman,She/her,Prefer not to disclose,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/12/2019 15:48:40,519ed3f5c9dcfe09d0b9682b232a3428
cohort-6,yes,670453a3-6acb-4496-b0b1-b9126cd21b8b,Woman,She/her,", Minority",HackerYou,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/12/2019 16:06:24,35b643e7de4deb37a5d77bdaea7392d2
cohort-6,yes,84f4d408-aa2f-47e4-a7d5-c45175327f6c,Woman,She/her,,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/12/2019 15:40:02,2c10c4511f60031c4ede6013a98be0b4
cohort-6,yes,3f8f22bd-b89c-4d27-991b-a36b4ae16031,Woman,She/her,Person of colour,Friend or family member,Cohort 5 (September 2018 - November 2018),Employed full time,Not sure,I have not attended a bootcamp,2/12/2019 16:11:09,a3dd1333c5d8cd81150866ca9380ae1b
cohort-6,no,b5dd5f95-672e-4c3e-87c5-593516b2cdd5,Man,Him/his,Person of colour,Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/12/2019 16:09:25,ebfe6485eb2f8ffb5cf0fb47cb6d9962
cohort-6,maybe,bb2fd582-60b4-4d06-b3dc-99afb37d7370,Woman,She/her,,Twitter,Cohort 5 (September 2018 - November 2018),Employed part time,Not sure,I have not attended a bootcamp,2/12/2019 16:20:32,b034e5a4a616c0605d8cc134cf2acb78
cohort-6,no,ddbe2fc2-69f4-4c1d-acce-b59395307a41,Woman,She/her,Person of colour,Twitter,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/12/2019 16:11:07,6bf85a88239d45cc029f4864f56e2eac
cohort-6,maybe,7016b2f5-61c1-4bcd-b6b9-e7b440b05d0c,Woman,She/her,Person of colour,Twitter,I have not applied to a Bridge cohort before,In school full time,Yes,Lighthouse Labs,2/12/2019 17:20:10,ce70186dca940ed4a9bc14889143637b
cohort-6,maybe,2b324604-b2a4-4a70-9123-4eb21592fb5b,Woman,She/her,Prefer not to disclose,lighthouse labs,I have not applied to a Bridge cohort before,Employed part time,Not sure,Lighthouse Labs,2/12/2019 17:39:38,d6fd7c95a58fb5e3dcb9715734c7d630
cohort-6,yes,c0160a3f-4530-4f63-9074-4eb64a49751a,Woman,She/her,,Friend or family member,Tulip Cohort 1 (June 2018 - August 2018),Employed full time,Yes,HackerYou,2/12/2019 18:26:15,c92f23c208da20ebe11c45f95e40f221
cohort-6,yes,34722514-4e59-48cb-9fc3-b232a0ae1a7d,Woman,She/her,Person of colour,Friend or family member,Cohort 5 (September 2018 - November 2018),Employed full time,Yes,I have not attended a bootcamp,2/12/2019 18:59:14,5c26e2a1c4fec364083bec50bf528af8
cohort-6,no,bef03f97-ae6b-4f11-ba51-a58868327dde,Woman,She/her,Prefer not to disclose,Facebook,I have not applied to a Bridge cohort before,In school full time,Yes,I have not attended a bootcamp,2/12/2019 19:29:55,d2123a1ff837b453c11a196173bc490c
cohort-6,maybe,7a25ee5a-1464-4226-b1b1-722edc908eeb,Woman,She/her,Prefer not to disclose,Event,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,Lighthouse Labs,2/13/2019 1:12:14,9366e80909bcc28aba683a94804f230b
cohort-6,maybe,50e6d854-8f18-489b-959b-c3e57b7bf635,Woman,She/her,Prefer not to disclose,HackerYou,Rangle Cohort 6 (January 2019 - March 2019),Employed part time,Yes,HackerYou,2/12/2019 20:37:47,b7c6bfccb6f3176804856f3cc2ff3c31
cohort-6,no,9aaf71d4-7ad8-495a-b955-426ee5ff9881,Woman,She/her,LGBTQIA+,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,", NA",2/12/2019 20:44:08,c7a68dd53d153b9e35edbdca9d65222d
cohort-6,yes,b0ef4e9e-7f09-47e1-b9e4-4c6be8887050,Woman,She/her,Prefer not to disclose,Facebook,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Not sure,I have not attended a bootcamp,2/12/2019 21:00:59,b24e98e402ababf9a942087391dc6a52
cohort-6,yes,0480c74c-c2e3-40c4-8d0c-d9f31305dd40,Woman,She/her,", Latino",LinkedIn,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,I have not attended a bootcamp,2/12/2019 22:13:06,73bc8eeca0a48e25aa0947f3f6db4529
cohort-6,yes,8243df18-a5e3-4bb3-b886-11127750fd1c,Woman,She/her,", Normal",LinkedIn,I have not applied to a Bridge cohort before,Employed full time,Yes,HackerYou,2/13/2019 1:38:53,f7a2c20dceb27d85f093077ba6c04240
cohort-6,yes,0e53c523-cf20-4c59-a72a-3053da1358f7,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and not looking for a job,Yes,HackerYou,2/13/2019 1:24:22,887615b02665b4fefe6e6d069a1a543b
cohort-6,yes,cee99f5d-16c8-4b01-b938-7354b4f886b9,Woman,She/her,Person of colour,Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/13/2019 3:06:48,ff18d3b8b6037bf4f570a8a643f55a80
cohort-6,yes,f6fef3d3-1936-4b31-ab58-3c40a4319175,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,In school full time,Yes,I have not attended a bootcamp,2/13/2019 4:17:10,e049ee43634b7c2855ea52cd8b300ec7
cohort-6,yes,1720a12c-776e-461d-8272-7facf3f6198e,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,HackerYou,2/13/2019 10:11:55,c341e7a924c3fb4e55d3b0225eca4059
cohort-6,yes,111fac56-cf76-4d16-9c57-d8f9de9acdba,Woman,She/her,Person of colour,Friend or family member,Cohort 3 (January 2018 - April 2018),Unemployed and looking for a job,Yes,HackerYou,2/13/2019 18:24:07,51592391d817d7b0229d8688e548519c
cohort-6,no,1188a58d-302e-4568-8d99-fbb59d8b721b,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/13/2019 18:35:32,c8c53ef043fc63975f4309d1a18a2f3b
cohort-6,yes,79721e62-c6b5-4757-be46-1c2419c7d190,Woman,She/her,Person of colour,Twitter,"Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019)",Employed full time,Yes,I have not attended a bootcamp,2/13/2019 19:15:02,fcc2cb00cc379354a27924cd7a0c86a4
cohort-6,maybe,417083a1-9ffa-4b25-96bb-a040bec04e48,Woman,She/her,Person of colour,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/13/2019 20:16:21,c1bda11069f8caae0307401f4a092227
cohort-6,no,54ec1976-e9fa-45af-b28b-a235f8729acb,Woman,She/her,Person of colour,Twitter,Cohort 3 (January 2018 - April 2018),Unemployed and not looking for a job,Yes,BrainStation,2/13/2019 20:52:56,ac00a6f87dcd269be0956adcb700d6ee
cohort-6,no,73a2ce5f-dc0c-4695-8a57-0ab78c0335d1,Man,"They/their, Him/his",LGBTQIA+,Twitter,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,Lighthouse Labs,2/13/2019 22:01:50,cb37db781949d3c6cbb2c63b427166fc
cohort-6,no,77773aba-a6b2-4db9-9394-41de1937c1c2,Woman,She/her,Person of colour,Slack group - women who code,I have not applied to a Bridge cohort before,Employed full time,Yes,"HackerYou, Bitmaker, BrainStation, Lighthouse Labs",2/13/2019 22:25:33,8fe2cb3131b2596b62cd9a0ae7af0db1
cohort-6,no,6ad43425-ca4b-4a80-87d6-ed80c5208d56,Woman,"She/her, They/their",,Facebook,I have not applied to a Bridge cohort before,Employed full time,No,I have not attended a bootcamp,2/13/2019 22:19:23,efd41731466575616175a042e29d896f
cohort-6,yes,b7168f0a-19eb-427d-b916-56f2227267c4,Woman,She/her,,Event,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,Bitmaker,2/13/2019 22:59:13,622cfd5759a1ae8747424bfd34364d32
cohort-6,yes,147dc85b-d1a2-4d88-9238-e833be7b5b02,Woman,She/her,Prefer not to disclose,Friend or family member,Cohort 5 (September 2018 - November 2018),Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/13/2019 23:39:49,a3f2d164602d2c1bf108c2133a44c991
cohort-6,yes,2e4b6321-9d72-42c7-912d-2c469dcf1ab9,Woman,She/her,Person of colour,Recruiter :-),I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/14/2019 0:45:29,1250a21067a6fb1cb4ed1fc78da22527
cohort-6,yes,78555b58-3fc2-4403-bc3e-ae51ea205074,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/14/2019 2:45:39,95d69f9910ab3b37e8951f131e3ab82a
cohort-6,yes,19b3694d-a62e-4a9c-8ced-980575556d07,Non-binary,They/their,"Person of colour, LGBTQIA+",Twitter,"Tulip Cohort 1 (June 2018 - August 2018), Cohort 1 (Jan 2017 - March 2017), Cohort 2 (June 2017 - August 2017), Cohort 3 (January 2018 - April 2018)",Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/14/2019 3:13:47,adfa1f902fbab8ebbb3458a1f21aca15
cohort-6,yes,a7d4a831-553b-469c-aead-d8e038d4eb42,Woman,She/her,Person of colour,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/14/2019 3:17:07,25712cff2ee83015db6c17b6d3fd724d
cohort-7,yes,9d6440ce-cdc1-4e2c-a057-1aedeca55e19,Woman,She/her,"Person with a disability, Person of colour",Friend or family member,"Rangle Cohort 6 (January 2019 - March 2019), Tulip Cohort 1 (June 2018 - August 2018), Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018)",Employed full time,No,BrainStation,2/14/2019 13:23:57,86de54e9fae5c699146bb2c86f7d1505
cohort-7,yes,1b66bac3-bbbf-46cd-9a47-0e8f9961c8db,Woman,She/her,Person with a disability,Facebook,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/14/2019 13:31:15,c378465a877f6a52914e8fc1a17a8e67
cohort-7,yes,ec577d2e-5219-4526-b123-630367c30650,Woman,She/her,Prefer not to disclose,Friend or family member,"Cohort 2 (June 2017 - August 2017), Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018), Cohort 1 (Jan 2017 - March 2017)",Employed full time,Yes,BrainStation,2/14/2019 14:46:45,aa33cc28837c6b476d43b7456b47b1e3
cohort-7,yes,765428bd-4759-43c9-9048-98ac2f4829a0,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/14/2019 15:21:12,25083889e3f6bd149cc7e98d5e971e53
cohort-7,yes,1e06ca26-8791-4a31-84ea-e39d94cb48e5,Woman,"She/her, They/their",Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/14/2019 20:03:07,250e32dbc666ca7ebb2c592616753b36
cohort-7,maybe,654658ea-d92d-4861-a957-8a5aac2f982b,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed part time,Yes,", udemy web development online",2/15/2019 2:01:04,7e406fd9fad459aaeafb7e50018706d2
cohort-7,no,1c09b17f-22f7-459d-86c1-82b94375e761,Woman,She/her,", minority",Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,"HackerYou, Bitmaker, Lighthouse Labs",2/14/2019 22:36:32,25a6ce24e952c5cfbca8bc4114032618
cohort-7,no,ce32ab22-f040-48ec-b7b6-80ebfb2d9aad,Woman,She/her,Indigenous person,Diversify Tech,I have not applied to a Bridge cohort before,Employed full time,Yes,Lighthouse Labs,2/15/2019 6:58:15,2553811055b39c4c64c054ab54818314
cohort-7,no,3990f4de-63cd-4802-8320-290f0a246b2c,"Woman, Agender","She/her, They/their",,Twitter,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/15/2019 14:45:49,c5aed80b3ce417e3c476b48b7fa5fb87
cohort-7,no,ef33628d-b04d-4723-bf11-2ca4ce5c3ec7,Man,They/their,LGBTQIA+,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/15/2019 15:40:27,a1dd69a5a0d58b696a10df2fb90f2cee
cohort-7,yes,3803e908-1c1d-43a6-a485-55a82d7f5fbb,Woman,She/her,Person of colour,Event,I have not applied to a Bridge cohort before,Employed full time,Yes,", Bloc ",2/15/2019 21:31:02,4bb1d637c5efafa5e1685a191607ae39
cohort-7,yes,d228615d-1145-4366-a495-9ea262cb4f53,Woman,She/her,Person with a disability,Friend or family member,Cohort 5 (September 2018 - November 2018),Unemployed and looking for a job,Yes,", RED Academy",2/16/2019 0:52:02,5d8ca96e382045949e994c701c653454
cohort-7,maybe,01d9b4fd-447b-43dc-ab94-6f9990c9d778,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,", UofT",2/15/2019 20:36:05,b474f3018447376de3a6b12705f73f75
cohort-7,no,8485583f-0cd2-48b8-8df3-d3117847558d,Woman,She/her,"Person of colour, Indigenous person",Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/15/2019 21:12:21,08f46e0826d98d1a1d4893676c7fbab5
cohort-7,yes,f457c99a-5220-4e81-91b8-27aaca5c2ae6,Woman,She/her,,Coworkers,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Not sure,Bitmaker,2/16/2019 14:12:36,5250f1cfa9d87915e4eae32558924bdc
cohort-7,yes,ed773fb5-fcab-44ca-b2b1-41b0fa7ab3b2,Woman,She/her,,Friend or family member,Tulip Cohort 1 (June 2018 - August 2018),Employed full time,Yes,HackerYou,2/16/2019 19:21:16,6b7fe61ec65776270fb34fabdae8bd2e
cohort-7,yes,2d50e548-f21f-4f8a-8661-3e2c6f99821c,Woman,She/her,", Asian",Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/17/2019 2:48:16,72e10e8c4ce7158c31ab8f58613d82fd
cohort-7,yes,89b3c6a7-3348-41c8-aa4b-e21b3eb6e89a,Woman,She/her,Prefer not to disclose,Event,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,I have not attended a bootcamp,2/27/2019 4:23:58,1ed61153e1d8a696376c87677270320e
cohort-7,no,c9a74e81-0c49-4c89-8105-57bfbfba007d,Woman,She/her,,LinkedIn,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/17/2019 9:17:47,24b98500304abc9f1e428e09a566cb34
cohort-7,no,580edf2b-30c3-4564-a0b0-0a308923412b,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Not sure,I have not attended a bootcamp,2/17/2019 15:27:14,c990b35db8882fcb4403037b0cd9d478
cohort-7,no,49ad2801-fe1d-4174-b3cc-efa30a9ea262,Woman,She/her,Prefer not to disclose,Through the Slack channel at Lighthouse Labs,I have not applied to a Bridge cohort before,In school full time,Yes,Lighthouse Labs,2/17/2019 16:30:47,14d7fd28e0849876653700496555700a
cohort-7,maybe,cfd7852f-5989-4dc3-b25e-420d8bc8e980,Woman,She/her,"LGBTQIA+, Person of colour",Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,", Thinkful full stack",2/17/2019 16:42:55,6e142e2def05fb94db2e0fa5559a88d8
cohort-7,no,ec2b68fb-f5f9-48d6-9d08-7d2e593b49a3,Woman,She/her,"Person of colour, Person with a disability",Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/17/2019 23:55:12,ddca27ed9bed72edbe8e4f67503a186d
