Cohort,SHORTLIST? (yes/no),Applicant ID,How do you identify?,What pronouns should we use?,Do you identify as any of the following? Please check all that apply.,How did you hear about Bridge?,Have you applied to any Bridge cohorts before?,Current employment status,Will you be looking for a new job in June 2019 (when you graduate from Bridge)?,Have you attended any web development focused bootcamps?,Submitted At,Token
cohort-7,yes,043e1497-3c44-4939-8a42-e015a2653075,Woman,She/her,Person of colour,Friend or family member,"Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019)",Employed full time,Not sure,HackerYou,2/18/2019 1:03:50,000a1cfd7bb3e46c1d9ecbc41ac0f146
cohort-7,yes,729ffab9-a6d4-465f-8158-cc533aca3b99,Woman,She/her,"Person of colour, LGBTQIA+",Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,HackerYou,2/18/2019 0:53:02,bc2e35025b561c11ad0ba3603662440c
cohort-7,yes,390dd962-f43c-46d4-b21f-a0e83ab91b51,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,In school full time,Yes,I have not attended a bootcamp,2/18/2019 16:56:32,62e960304570974403b9fbe2747f03bc
cohort-7,no,821f8d33-63d0-4358-9647-bcd997e2baae,Woman,She/her,Person of colour,LinkedIn,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/18/2019 16:27:33,0f1bbfce564321118cd6b7945285b8be
cohort-7,no,9ee33db9-2379-4845-9bf5-823658c220ee,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/18/2019 17:58:15,4c5e64d7d71d2a4dd2732b18f937ed19
cohort-7,no,4c06b615-77ef-45bb-a0d1-0d96559a3bbf,Woman,She/her,"LGBTQIA+, Prefer not to disclose, Person of colour",Twitter,Rangle Cohort 6 (January 2019 - March 2019),Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/18/2019 19:03:23,a056ce739221789fb0a3a2bb0c7b2b70
cohort-7,yes,20f975c6-a034-4e22-b5ea-e38a73dc3afa,Woman,She/her,,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,", University of Toronto Coding Bootcamp",2/18/2019 19:51:07,7f7577d56a7d017755c401bb009e00ae
cohort-7,yes,1f8f7c43-b2c7-4a68-acf2-7521ff9e8960,Woman,She/her,,Twitter,Cohort 5 (September 2018 - November 2018),Employed full time,Yes,", University of Toronto",2/18/2019 21:24:37,f29679b26779faf848a713eee0250bd6
cohort-7,yes,536d2306-29bf-44d6-b4dc-6224e28c0510,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,Bitmaker,2/19/2019 2:33:07,79070065bc3e25c2389c1a1da20117c3
cohort-7,yes,e3dc22ff-1299-4baa-a0af-e55b31700deb,Woman,She/her,,Work,I have not applied to a Bridge cohort before,Employed full time,No,I have not attended a bootcamp,2/19/2019 2:53:40,9f9d3417930d86994173271a7815c0fe
cohort-7,yes,5eaaa77f-d581-4af8-9b01-11cc3f06ae71,Woman,She/her,LGBTQIA+,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,BrainStation,2/19/2019 14:12:39,f8620bb5d0b2d4a14a4223dbf200c7ce
cohort-7,maybe,d9b49b7c-3b10-4171-a51e-94b8e097131e,Woman,She/her,Person of colour,Twitter,Design Cohort 1 (June 2018 - August 2018),Employed part time,Yes,", uoft scs web development full stack bootcamp",2/19/2019 20:18:58,1077d05f37b652d52956de21d12acb1b
cohort-7,yes,c913feab-62e5-426e-9a78-5635275b6071,Woman,She/her,LGBTQIA+,Twitter,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/19/2019 21:12:14,5bb6730e1a7814676073123b6fb87e99
cohort-7,no,d58be348-a358-458c-92a9-3513cd2ac570,Woman,She/her,"Person of colour, Asexual? Not sure if that's LGBTQIA...",Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/19/2019 23:23:26,eb1dadad131ec1a298d9936cc7e7e011
cohort-7,no,a155618f-ff7d-40a0-aff0-aa1ebc3c7aed,Woman,She/her,,Facebook,I have not applied to a Bridge cohort before,Employed part time,Yes,", Not a bootcamp, but I attended a 22 week web development program at Humber College in 2018",2/20/2019 15:32:01,7b90f785b02bf6814896729ac59e31f3
cohort-7,no,957376d6-f6ae-4ce0-b2a7-b64475f249d7,Woman,She/her,,LightHouse Labs,I have not applied to a Bridge cohort before,Employed full time,No,Lighthouse Labs,2/21/2019 1:00:32,a291b4e4a65078929b5980702eceb643
cohort-7,maybe,3aae73ae-7e46-4b87-96b5-37bc7d46c92e,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 1:53:32,4e2cf00f16e654fbda374d0c5b5fa41d
cohort-7,no,96dca4fe-ed89-4c9b-a61f-b0ca6b733972,Woman,She/her,Person of colour,LinkedIn,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/21/2019 3:04:14,bd9347df9f73c3b72ba27b95e1309c1a
cohort-7,yes,1819d7e4-ac7d-47fd-930e-7aea435ecc7c,Woman,She/her,Person of colour,Friend or family member,Cohort 1 (Jan 2017 - March 2017),Employed full time,Not sure,", Ironhack",2/21/2019 14:20:40,f361c13197178e30258d52dbe93a7aaa
cohort-7,no,c4ca5677-ace4-437b-8cc7-536393005c27,Man,Him/his,,Facebook,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/21/2019 15:07:00,bf13688c0fa2686ad62d05d426d1158d
cohort-7,yes,e5597874-125f-435e-927f-1d718e7217fc,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/21/2019 19:27:49,edcd345bd0729e3fce4ba29b37b91843
cohort-8,yes,5190032c-fd51-48f6-bbed-5f88379fe2f6,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 16:34:25,4f3915f4a6b0d95e77053c6accf6d179
cohort-8,no,0ddfc699-31fe-402e-a626-a57d7667690c,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/21/2019 19:39:42,fc2cd11aea10e2931bc49f53e765dbd9
cohort-8,no,f892d1bc-0fa9-44b0-baf4-636f70dd9e75,Woman,She/her,Prefer not to disclose,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/21/2019 21:18:09,51e87d7d683f62ef01942a83de65c889
cohort-8,yes,b6cd27ba-60dd-4269-bfa6-b8d89209fa1c,Woman,She/her,Prefer not to disclose,Twitter,"Cohort 2 (June 2017 - August 2017), Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019)",Unemployed and looking for a job,Yes,HackerYou,2/21/2019 21:23:58,9200c350baf69f5a8c843deffa5f9fea
cohort-8,yes,0e52b5a1-5736-401e-8731-c349d729f5e2,Woman,She/her,,Friend or family member,"Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018)",Employed full time,Yes,I have not attended a bootcamp,2/22/2019 4:02:50,726b80c20a3b2e3925112f421282c984
cohort-8,yes,ecba7cf0-969f-4ea4-9855-f9b0c96b3c9f,Woman,She/her,Prefer not to disclose,Friend or family member,"Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018), Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019), Cohort 2 (June 2017 - August 2017)",Employed full time,Yes,I have not attended a bootcamp,2/22/2019 18:49:35,c3cd80c505e26b0cca5037a7408d771c
cohort-8,yes,cfd69d7e-7234-402e-83c2-75578d40ab22,Woman,She/her,,bridgeschool ,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/22/2019 21:07:51,8af6e0ef27df1df88425d9e851f2761c
cohort-8,yes,4facecde-c071-4ab6-89e1-bbe4e6c6e647,Non-binary,They/their,"Person of colour, LGBTQIA+, Person with a disability, Indigenous person",IntersectTO,Rangle Cohort 6 (January 2019 - March 2019),In school full time,Yes,I have not attended a bootcamp,2/23/2019 4:15:30,72e36190b102ef3787d3c47d605c8f3b
cohort-8,no,f09d27ee-7a6f-4972-b887-d2babb5657a3,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/23/2019 5:34:47,a0e1e76979645acc9dc5b01a25c70393
cohort-8,yes,bd7b28f7-028b-4251-a012-0c22ebc4722a,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/23/2019 19:10:23,65f06b4000adc2b491b9beabe95a5829
cohort-8,yes,cec81691-806a-4849-a520-e3a1e90b1c24,Woman,She/her,Person of colour,Event,"Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019), Tulip Cohort 1 (June 2018 - August 2018)",In school full time,Yes,I have not attended a bootcamp,2/24/2019 3:20:29,a50a1a7437556a760a6aeedf0a5fabaf
cohort-8,yes,d93c01a2-7091-464c-850c-8a78f5dc2c04,Woman,She/her,,Event,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Employed full time,Not sure,HackerYou,2/24/2019 16:28:30,d6677a2ad8ed3e89eb13e31fed24bf61
cohort-8,yes,8d7d0e85-9616-4829-9021-97e44d02c4a8,Woman,She/her,"LGBTQIA+, Neurodiverse",Friend or family member,Cohort 5 (September 2018 - November 2018),Employed full time,No,HackerYou,2/24/2019 19:51:51,7a615c5dcc5cf44369c8f78bb5543c57
cohort-8,no,e3d0ffb2-f50e-4cff-99f8-204bf8a59b5a,Woman,She/her,Person of colour,Twitter,I have not applied to a Bridge cohort before,In school full time,Yes,HackerYou,2/24/2019 20:42:29,b4a3c6eb74a5cc3465659b3c9427bcca
cohort-8,yes,5ab6391f-c77c-4155-9ac5-90646bee402e,Woman,She/her,LGBTQIA+,Friend or family member,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Employed full time,No,HackerYou,2/24/2019 20:46:07,1f2341af503fc9bacf324bfececb0f80
cohort-8,no,84317e6d-2fb6-4f63-9fa1-bb4bb1ec84ea,Woman,She/her,"Person of colour, LGBTQIA+",Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,", Thinkful, uDemy",2/25/2019 2:27:39,d422b9f02bd4db3e59fe70c39d7bf55b
cohort-8,yes,971ee5c0-a590-42a2-98d7-c8cd29666a63,Woman,She/her,LGBTQIA+,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Not sure,I have not attended a bootcamp,2/25/2019 14:19:16,1937555b239470ab61149c51c9f4f42e
cohort-8,"no, special message",7b5f5557-0184-4e95-a9c1-c0301a607d80,Woman,She/her,"Person of colour, Person with a disability, LGBTQIA+",Friend or family member,I have not applied to a Bridge cohort before,In school full time,Yes,I have not attended a bootcamp,2/25/2019 17:27:12,5584f85f1a16603bb4028ce439a44c7b
cohort-8,no,ed387e5c-706e-47de-8e91-aed10d2a6ecf,Woman,She/her,,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/26/2019 21:42:16,64935e9acd1d33332e65316d59dd08c4
cohort-8,no,8d1c44a5-dac6-4951-bbba-4b91b9315f17,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/25/2019 21:34:57,a0487d6dbaa1fb52cd50549ab6a591cd
cohort-8,yes,452c1018-e05f-4003-bd0d-f6f23a084655,Woman,She/her,Person of colour,Twitter,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,I have not attended a bootcamp,2/26/2019 5:09:28,5b9cecc90906189be0cf700698290ea4
cohort-8,yes,e39d1dd9-b89a-4f7a-9a5c-b01579c0aa3e,Woman,She/her,,Friend or family member,Rangle Cohort 6 (January 2019 - March 2019),Unemployed and looking for a job,Not sure,HackerYou,2/25/2019 22:20:10,b379b3c277e2b3c1b047099a289edeaf
cohort-8,yes,ccbd2cb9-908d-40b4-8574-c38fc8a577c1,Woman,She/her,Prefer not to disclose,Friend or family member,"Cohort 2 (June 2017 - August 2017), Cohort 3 (January 2018 - April 2018), Tulip Cohort 1 (June 2018 - August 2018), Cohort 5 (September 2018 - November 2018), Rangle Cohort 6 (January 2019 - March 2019)",Employed full time,Yes,I have not attended a bootcamp,2/25/2019 23:13:23,d377cbda21ec1f3f452a0226289aabd6
cohort-8,yes,30484ded-0cb9-4403-a3ed-dc366fa7a0de,Woman,She/her,Person of colour,Twitter,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,I have not attended a bootcamp,2/26/2019 2:47:04,618d5dafbd70a2d79a8be515185f23c7
cohort-8,yes,7331c2cd-d65d-439b-a7af-9789bb0099c3,Woman,She/her,Person of colour,Twitter,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Not sure,HackerYou,2/26/2019 3:34:13,cd9f56477e2deb5e47900934c95b51fc
cohort-8,yes,8e82c90c-6d54-4b73-9bf6-d19355053ec3,Woman,She/her,Person of colour,Friend or family member,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Employed part time,Yes,I have not attended a bootcamp,2/26/2019 3:50:20,0000dc557d0a3fb064380b9b16403a88
cohort-8,maybe,6bed155b-9fdf-4bbc-a43d-bf2dc3fa238d,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/26/2019 3:41:42,2e196c734e96ff8322c8060ace023bee
cohort-8,maybe,3869bb3b-5c42-4b91-9123-eec8bf7b8f7e,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Yes,I have not attended a bootcamp,2/26/2019 3:46:55,f888eef0e04e94da05b4614bdd860e8f
cohort-8,no,bb4bcd5f-a4d2-49b5-b04b-91a0b1776b60,Woman,She/her,,Rangle website,I have not applied to a Bridge cohort before,Employed full time,No,I have not attended a bootcamp,2/26/2019 10:51:57,961b7e1c5d1e68190d4d36594f173be8
cohort-8,yes,cafb0dd8-775a-4e0d-90d3-17b63db34023,Woman,She/her,Person of colour,Emily Porta spoke about Bridge during a presentation to my web development bootcamp cohort.,"Cohort 2 (June 2017 - August 2017), Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018)",Employed full time,Yes,HackerYou,2/26/2019 14:49:13,8f78ceb91b45a062bfcb0bcea99fea0f
cohort-8,yes,bebddfa2-c494-42e2-8c44-daf93acc2da5,Woman,She/her,Person of colour,Twitter,"Tulip Cohort 1 (June 2018 - August 2018), Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018)",Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/26/2019 14:57:13,0a5a2fd2f503d0c45ce8c7ff910f361f
cohort-8,yes,b1b75f1a-eb68-475e-a03c-db8c5a6538b2,Woman,She/her,LGBTQIA+,Friend or family member,"Rangle Cohort 6 (January 2019 - March 2019), Tulip Cohort 1 (June 2018 - August 2018), Cohort 3 (January 2018 - April 2018)",Employed full time,Not sure,HackerYou,2/26/2019 17:25:05,4bcf40efc6c20d4d32400fff9ad3712e
cohort-8,yes,d2ca25d2-facf-4c04-ad21-98d845fc767a,Woman,She/her,Person of colour,On Rangle's website,Cohort 3 (January 2018 - April 2018),Employed full time,Yes,Lighthouse Labs,2/26/2019 22:38:18,805f35015f6bb29f0b4413583f730f10
cohort-8,no,0ee08e64-b400-46df-8d5d-6f5d9d47b92f,Woman,She/her,Prefer not to disclose,LinkedIn,I have not applied to a Bridge cohort before,In school full time,No,I have not attended a bootcamp,2/26/2019 22:27:39,de8ea1010bb1b9de0c09620b676407ac
cohort-8,no,50033a03-79f1-4f1b-8b76-8b9f24291a1a,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/26/2019 22:57:15,fd7cb22a74b4ea162e784b31ec02c18c
cohort-8,yes,2954170d-0977-47a4-af9b-157320f7d50c,Woman,"She/her, They/their",LGBTQIA+,Friend or family member,I have not applied to a Bridge cohort before,Employed part time,Yes,I have not attended a bootcamp,2/27/2019 4:56:56,fd5e72ef26c7f863f476b402a6e57d0d
cohort-8,yes,a5232b51-ca7d-4084-bc77-7898e43c65cb,Woman,She/her,Person of colour,Past application,"Cohort 5 (September 2018 - November 2018), Cohort 3 (January 2018 - April 2018)",Unemployed and looking for a job,Not sure,BrainStation,2/27/2019 2:55:31,1a5d831e8cd590c0e960104aca6a7add
cohort-8,yes,6d8b1b41-ba03-4cfb-9327-05abcca8179d,Woman,She/her,Person of colour,Twitter,"Rangle Cohort 6 (January 2019 - March 2019), Cohort 5 (September 2018 - November 2018)",Employed full time,Yes,I have not attended a bootcamp,2/27/2019 3:17:37,c5831d024213315b52eb8d06ddade15c
cohort-8,yes,fedc4749-4117-46a8-8009-1d3051fe7efe,Woman,She/her,,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,HackerYou,2/27/2019 4:52:42,717eaa9e5ba79c533710f945aebe324d
cohort-8,yes,d0e6a80a-6793-4213-a0c4-6b02b31e63a2,"Woman, Non-binary",", She/her or they/their are great!","LGBTQIA+, Person with a disability",Twitter,Rangle Cohort 6 (January 2019 - March 2019),Employed full time,Yes,HackerYou,2/27/2019 4:23:17,258c6b0f75209ebec40de1769b20a4f9
cohort-8,yes,978aced2-d74f-4911-b98d-c4f34b3bb2cf,Woman,She/her,Person of colour,Friend or family member,I have not applied to a Bridge cohort before,Employed full time,Not sure,I have not attended a bootcamp,2/27/2019 4:04:15,90e8d4c4cb5f0dd83a884721d2fc6984
cohort-8,yes,a77cc724-6c72-4f03-b073-1b9d87a810f4,Woman,She/her,Prefer not to disclose,Facebook,"Rangle Cohort 6 (January 2019 - March 2019), Tulip Cohort 1 (June 2018 - August 2018)",Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/27/2019 3:58:31,20fc68ae03d7383db9ace059e4bf69ae
cohort-8,no,0b092a76-3242-4999-882f-8dc81de7b54a,Woman,She/her,"Person of colour, LGBTQIA+",Twitter,I have not applied to a Bridge cohort before,Unemployed and looking for a job,Yes,I have not attended a bootcamp,2/27/2019 4:55:21,cb236004a84e76393e6aefb46e919550